District,Median_Income,Representative,Party
FL-25,75269,D. Wasserman Schultz,Democrat
PA-5,75243,M. Scanlon,Democrat
OR-6,74711,A. Salinas,Democrat
NV-2,74058,M. Amodei,Republican
TX-12,74002,K. Granger,Republican
NJ-2,73928,J. Van Drew,Republican
TX-10,73784,M. McCaul,Republican
NY-5,73628,G. Meeks,Democrat
MI-9,73460,L. McClain,Republican
CA-52,73215,J. Vargas,Democrat
CA-44,73188,N. Barragán,Democrat
AZ-8,73095,D. Lesko,Republican
FL-16,72884,V. Buchanan,Republican
CA-6,72860,A. Bera,Democrat
GA-7,72792,L. McBath,Democrat
UT-2,72791,C. Stewart,Republican
IL-16,72666,D. LaHood,Republican
FL-11,72624,D. Webster,Republican
NE-2,72455,D. Bacon,Republican
VT-At Large,72431,B. Balint,Democrat
PA-10,72359,S. Perry,Republican
GA-5,71695,N. Williams,Democrat
NJ-8,71688,R. Menendez Jr.,Democrat
MN-5,71636,I. Omar,Democrat
NC-13,71598,W. Nickel,Democrat
PA-7,71407,S. Wild,Democrat
TX-14,71372,R. Weber,Republican
MO-3,71309,B. Luetkemeyer,Republican
DE-At Large,71091,L. Blunt Rocheste,Democrat
IA-3,70794,Z. Nunn,Republican
FL-21,70739,B. Mast,Republican
FL-19,70698,B. Donalds,Republican
KY-4,70561,T. Massie,Republican
OH-8,70382,W. Davidson,Republican
IN-5,70367,V. Spartz,Republican
IL-7,70210,D. Davis,Democrat
AZ-4,70204,G. Stanton,Democrat
NY-6,70187,G. Meng,Democrat
FL-23,70142,J. Moskowitz,Democrat
MI-7,70080,E. Slotkin,Democrat
MN-1,69959,B. Finstad,Republican
OH-1,69885,G. Landsman,Democrat
RI-1,69666,D. Cicilline,Democrat
TX-23,69566,T. Gonzales,Republican
GA-4,69415,H. Johnson,Democrat
WI-1,69394,B. Steil,Republican
GA-9,69258,A. Clyde,Republican
AL-6,69221,G. Palmer,Republican
NV-3,69204,S. Lee,Democrat
NC-12,69019,A. Adams,Democrat
NE-1,68908,M. Flood,Republican
IN-4,68746,J. Baird,Republican
ID-1,68661,R. Fulcher,Republican
FL-22,68585,L. Frankel,Democrat
TX-25,68500,R. Williams,Republican
AL-5,68269,D. Strong,Republican
AZ-6,68146,J. Ciscomani,Republican
TX-7,68025,L. Fletcher,Democrat
GA-10,67918,M. Collins,Republican
OH-15,67626,M. Carey,Republican
WI-8,67451,M. Gallagher,Republican
CA-42,67435,R. Garcia,Democrat
AZ-9,67407,P. Gosar,Republican
MN-8,67313,P. Stauber,Republican
CA-43,67279,M. Waters,Democrat
MI-3,67276,H. Scholten,Democrat
TX-6,67221,J. Ellzey,Republican
OH-4,67184,J. Jordan,Republican
MI-10,67019,J. James,Republican
WA-4,66812,D. Newhouse,Republican
IL-4,66787,J. García,Democrat
CA-29,66767,T. Cárdenas,Democrat
FL-7,66695,C. Mills,Republican
GA-3,66688,D. Ferguson,Republican
ND-At Large,66519,K. Armstrong,Republican
NC-4,66293,V. Foushee,Democrat
SD-At Large,66143,D. Johnson,Republican
IN-6,66074,G. Pence,Republican
WI-6,66013,G. Grothman,Republican
OH-12,65943,T. Balderson,Republican
TX-5,65835,L. Gooden,Republican
FL-1,65793,M. Gaetz,Republican
LA-6,65719,G. Graves,Republican
NY-25,65695,J. Morelle,Democrat
CA-23,65634,J. Obernolte,Republican
FL-17,65418,G. Steube,Republican
TX-36,65378,B. Babin,Republican
MI-4,65294,B. Huizenga,Republican
WY-At Large,65204,H. Hageman,Republican
LA-1,65197,S. Scalise,Republican
FL-28,64881,C. Gimenez,Republican
NY-24,64880,C. Tenney,Republican
FL-27,64869,M. Elvira Salazar,Republican
MO-6,64857,S. Graves,Republican
MA-1,64803,R. Neal,Democrat
MN-7,64737,M. Fischbach,Republican
ID-2,64712,M. Simpson,Republican
WI-7,64670,T. Tiffany,Republican
IL-15,64632,M. Miller,Republican
AR-3,64608,S. Womack,Republican
TN-7,64551,M. Green,Republican
GA-14,64432,M. Taylor Greene,Republican
OK-5,64407,S. Bice,Republican
OH-14,64318,D. Joyce,Republican
MT-1,64288,R. Zinke,Republican
IA-2,64201,A. Hinson,Republican
IN-1,64176,F. Mrvan,Democrat
IA-4,64164,R. Feenstra,Republican
NY-22,64128,B. Williams,Republican
SC-4,64119,W. Timmons,Republican
OH-3,64055,J. Beatty,Democrat
TX-35,63991,G. Casar,Democrat
NV-4,63987,S. Horsford,Democrat
GA-13,63684,D. Scott,Democrat
IA-1,63665,M. Miller-Meeks,Republican
FL-8,63612,B. Posey,Republican
FL-9,63463,D. Soto,Democrat
NY-9,63306,Y. Clarke,Democrat
NY-21,63211,E. Stefanik,Republican
NC-8,63115,D. Bishop,Republican
PA-8,63058,M. Cartwright,Democrat
NY-23,62999,N. Langworthy,Republican
FL-14,62814,K. Castor,Democrat
WA-5,62811,C. McMorris Rodgers,Republican
PA-9,62659,D. Meuser,Republican
OH-5,62384,B. Latta,Republican
VA-5,62276,B. Good,Republican
MT-2,62239,M. Rosendale Sr.,Republican
VA-6,62229,B. Cline,Republican
OH-13,62114,E. Sykes,Democrat
TN-4,62108,S. DesJarlais,Republican
MI-5,61969,T. Walberg,Republican
NY-19,61944,M. Molinaro,Republican
TN-2,61938,T. Burchett,Republican
IN-3,61889,J. Banks,Republican
FL-13,61804,A. Luna,Republican
MO-5,61749,E. Cleaver,Democrat
SC-2,61683,J. Wilson,Republican
WI-3,61644,D. Van Orden,Republican
FL-15,61625,L. Lee,Republican
PA-12,61514,S. Lee,Democrat
NJ-10,61465,D. Payne Jr.,Democrat
TX-30,61427,J. Crockett,Democrat
NM-1,61331,M. Stansbury,Democrat
FL-26,61315,M. Diaz-Balart,Republican
FL-4,61311,A. Bean,Republican
OK-1,61030,K. Hern,Republican
IL-1,61003,J. Jackson,Democrat
IN-2,60853,R. Yakym,Republican
PA-13,60754,J. Joyce,Republican
PA-16,60630,M. Kelly,Republican
IN-9,60586,E. Houchin,Republican
TX-11,60533,A. Pfluger,Republican
NE-3,60513,A. Smith,Republican
CA-1,60424,D. LaMalfa,Republican
TX-27,60411,M. Cloud,Republican
OH-10,60227,M. Turner,Republican
GA-1,60214,B. Carter,Republican
CA-37,60083,S. Kamlager-Dove,Democrat
CO-3,59991,L. Boebert,Republican
KS-4,59974,R. Estes,Republican
TN-3,59794,C. Fleischmann,Republican
MI-2,59683,J. Moolenaar,Republican
VA-3,59672,R. Scott,Democrat
OR-4,59512,V. Hoyle,Democrat
VA-4,59458,J. McClellan,Democrat
CA-13,59219,J. Duarte,Republican
TN-8,59218,D. Kustoff,Republican
MO-4,59197,M. Alford,Republican
NC-6,59118,K. Manning,Democrat
KY-2,59005,B. Guthrie,Republican
KY-3,58965,M. McGarvey,Democrat
IL-12,58961,M. Bost,Republican
NC-10,58845,P. McHenry,Republican
AZ-2,58671,E. Crane,Republican
KY-6,58668,A. Barr,Republican
TX-32,58647,C. Allred,Democrat
NC-9,58473,R. Hudson,Republican
GU-At Large,58289,J. Moylan,Republican
PA-14,58075,G. Reschenthaler,Republican
PA-15,57945,G. Thompson,Republican
SC-5,57897,R. Norman,Republican
OH-9,57732,M. Kaptur,Democrat
IN-7,57722,A. Carson,Democrat
NV-1,57599,D. Titus,Democrat
TX-17,57475,P. Sessions,Republican
TN-6,57373,J. Rose,Republican
KS-1,57171,T. Mann,Republican
OR-2,57026,C. Bentz,Republican
WV-2,57012,A. Mooney,Republican
NY-26,56989,B. Higgins,Democrat
IN-8,56957,L. Bucshon,Republican
TX-13,56933,R. Jackson,Republican
NC-7,56858,D. Rouzer,Republican
OK-4,56822,T. Cole,Republican
CA-25,56541,R. Ruiz,Democrat
OH-2,56397,B. Wenstrup,Republican
SC-3,56382,J. Duncan,Republican
FL-2,56301,N. Dunn,Republican
AZ-3,56271,R. Gallego,Democrat
TX-28,56191,H. Cuellar,Democrat
KS-2,56153,J. LaTurner,Republican
NY-14,56129,A. Ocasio-Cortez,Democrat
AR-2,56091,F. Hill,Republican
MI-1,55941,J. Bergman,Republican
NC-3,55911,G. Murphy,Republican
FL-10,55908,M. Frost,Democrat
NC-11,55831,C. Edwards,Republican
ME-2,55629,J. Golden,Democrat
FL-12,55598,G. M. Bilirakis,Republican
FL-6,55586,M. Waltz,Republican
MD-7,55335,K. Mfume,Democrat
NY-8,55121,H. Jeffries,Democrat
IL-13,54986,N. Budzinski,Democrat
MO-7,54711,E. Burlison,Republican
TX-1,54518,N. Moran,Republican
IL-2,54422,R. Kelly,Democrat
PA-3,54392,D. Evans,Democrat
TX-9,54330,A. Green,Democrat
TX-20,54117,J. Castro,Democrat
TX-19,54084,J. Arrington,Republican
GA-12,53832,R. Allen,Republican
LA-3,53747,C. Higgins,Republican
CA-21,53745,J. Costa,Democrat
MI-8,53588,D. Kildee,Democrat
TX-18,53533,S. Jackson Lee,Democrat
MS-1,53298,T. Kelly,Republican
MO-8,52952,J. Smith,Republican
MS-4,52683,W. Ezell,Republican
CA-34,52491,J. Gomez,Democrat
MS-3,52442,M. Guest,Republican
FL-18,52435,S. Franklin,Republican
OH-6,52326,B. Johnson,Republican
PA-2,52293,B. Boyle,Democrat
AL-1,52278,J. Carl,Republican
TX-33,52202,M. Veasey,Democrat
FL-3,52054,K. Cammack,Republican
KY-1,51974,J. Comer,Republican
MI-12,51973,R. Tlaib,Democrat
WI-4,51865,G. Moore,Democrat
FL-20,51795,S. Cherfilus-McCormic,Democrat
MO-1,51770,C. Bush,Democrat
FL-24,51688,F. Wilson,Democrat
NC-5,51640,V. Foxx,Republican
GA-8,51525,A. Scott,Republican
NM-3,51404,T. Leger Fernandez,Democrat
TX-16,51323,V. Escobar,Democrat
OK-3,51174,F. Lucas,Republican
SC-7,50905,R. Fry,Republican
AZ-7,50668,R. Grijalva,Democrat
AL-2,50597,B. Moore,Republican
AL-4,50227,R. Aderholt,Republican
VA-9,50037,M. Griffith,Republican
TX-15,50003,M. De La Cruz,Republican
NM-2,49905,G. Vasquez,Democrat
IL-17,49788,E. Sorensen,Democrat
AL-3,49465,M. Rogers,Republican
TN-1,49065,D. Harshbarger,Republican
CA-22,48917,D. Valadao,Republican
TX-29,48391,S. Garcia,Democrat
TN-9,47518,S. Cohen,Democrat
OK-2,47017,J. Brecheen,Republican
SC-6,47009,J. Clyburn,Democrat
NC-1,46702,D. Davis,Democrat
WV-1,46156,C. Miller,Republican
GA-2,45826,S. D. Bishop Jr.,Democrat
NY-13,45683,A. Espaillat,Democrat
AR-1,45517,R. Crawford,Republican
AR-4,45508,B. Westerman,Republican
OH-11,45480,S. Brown,Democrat
LA-4,44998,M. Johnson,Republican
TX-34,44936,V. Gonzalez,Democrat
LA-2,44363,T. Carter,Democrat
MI-13,44238,S. Thanedar,Democrat
LA-5,43382,J. Letlow,Republican
AL-7,41736,T. A. Sewell,Democrat
VI-At Large,40408,S. Plaskett,Democrat
NY-15,40319,R. Torres,Democrat
MS-2,37933,B. G. Thompson,Democrat
KY-5,37910,H. Rogers,Republican
MP-At Large,31362,G. Sablan,Democrat
AS-At Large,28352,A. Coleman,Republican
PR-At Large,22237,J. González-Colón,Republican
