Ascending_Rank,District,Median_Income,Representative,Party
146,SC-2,61683,J. Wilson,Republican
147,MO-5,61749,E. Cleaver,Democrat
148,FL-13,61804,A. Luna,Republican
149,IN-3,61889,J. Banks,Republican
150,TN-2,61938,T. Burchett,Republican
151,NY-19,61944,M. Molinaro,Republican
152,MI-5,61969,T. Walberg,Republican
153,TN-4,62108,S. DesJarlais,Republican
154,OH-13,62114,E. Sykes,Democrat
155,VA-6,62229,B. Cline,Republican
156,MT-2,62239,M. Rosendale Sr.,Republican
157,VA-5,62276,B. Good,Republican
158,OH-5,62384,B. Latta,Republican
159,PA-9,62659,D. Meuser,Republican
160,WA-5,62811,C. McMorris Rodgers,Republican
161,FL-14,62814,K. Castor,Democrat
162,NY-23,62999,N. Langworthy,Republican
163,PA-8,63058,M. Cartwright,Democrat
164,NC-8,63115,D. Bishop,Republican
165,NY-21,63211,E. Stefanik,Republican
166,NY-9,63306,Y. Clarke,Democrat
167,FL-9,63463,D. Soto,Democrat
168,FL-8,63612,B. Posey,Republican
169,IA-1,63665,M. Miller-Meeks,Republican
170,GA-13,63684,D. Scott,Democrat
171,NV-4,63987,S. Horsford,Democrat
172,TX-35,63991,G. Casar,Democrat
173,OH-3,64055,J. Beatty,Democrat
174,SC-4,64119,W. Timmons,Republican
175,NY-22,64128,B. Williams,Republican
176,IA-4,64164,R. Feenstra,Republican
177,IN-1,64176,F. Mrvan,Democrat
178,IA-2,64201,A. Hinson,Republican
179,MT-1,64288,R. Zinke,Republican
180,OH-14,64318,D. Joyce,Republican
181,OK-5,64407,S. Bice,Republican
182,GA-14,64432,M. Taylor Greene,Republican
183,TN-7,64551,M. Green,Republican
184,AR-3,64608,S. Womack,Republican
185,IL-15,64632,M. Miller,Republican
186,WI-7,64670,T. Tiffany,Republican
187,ID-2,64712,M. Simpson,Republican
188,MN-7,64737,M. Fischbach,Republican
189,MA-1,64803,R. Neal,Democrat
190,MO-6,64857,S. Graves,Republican
191,FL-27,64869,M. Elvira Salazar,Republican
192,NY-24,64880,C. Tenney,Republican
193,FL-28,64881,C. Gimenez,Republican
194,LA-1,65197,S. Scalise,Republican
195,WY-At Large,65204,H. Hageman,Republican
196,MI-4,65294,B. Huizenga,Republican
197,TX-36,65378,B. Babin,Republican
198,FL-17,65418,G. Steube,Republican
199,CA-23,65634,J. Obernolte,Republican
200,NY-25,65695,J. Morelle,Democrat
201,LA-6,65719,G. Graves,Republican
202,FL-1,65793,M. Gaetz,Republican
203,TX-5,65835,L. Gooden,Republican
204,OH-12,65943,T. Balderson,Republican
205,WI-6,66013,G. Grothman,Republican
206,IN-6,66074,G. Pence,Republican
207,SD-At Large,66143,D. Johnson,Republican
208,NC-4,66293,V. Foushee,Democrat
209,ND-At Large,66519,K. Armstrong,Republican
210,GA-3,66688,D. Ferguson,Republican
211,FL-7,66695,C. Mills,Republican
212,CA-29,66767,T. Cárdenas,Democrat
213,IL-4,66787,J. García,Democrat
214,WA-4,66812,D. Newhouse,Republican
215,MI-10,67019,J. James,Republican
216,OH-4,67184,J. Jordan,Republican
217,TX-6,67221,J. Ellzey,Republican
218,MI-3,67276,H. Scholten,Democrat
219,CA-43,67279,M. Waters,Democrat
220,MN-8,67313,P. Stauber,Republican
221,AZ-9,67407,P. Gosar,Republican
222,CA-42,67435,R. Garcia,Democrat
223,WI-8,67451,M. Gallagher,Republican
224,OH-15,67626,M. Carey,Republican
225,GA-10,67918,M. Collins,Republican
226,TX-7,68025,L. Fletcher,Democrat
227,AZ-6,68146,J. Ciscomani,Republican
228,AL-5,68269,D. Strong,Republican
229,TX-25,68500,R. Williams,Republican
230,FL-22,68585,L. Frankel,Democrat
231,ID-1,68661,R. Fulcher,Republican
232,IN-4,68746,J. Baird,Republican
233,NE-1,68908,M. Flood,Republican
234,NC-12,69019,A. Adams,Democrat
235,NV-3,69204,S. Lee,Democrat
236,AL-6,69221,G. Palmer,Republican
237,GA-9,69258,A. Clyde,Republican
238,WI-1,69394,B. Steil,Republican
239,GA-4,69415,H. Johnson,Democrat
240,TX-23,69566,T. Gonzales,Republican
241,RI-1,69666,D. Cicilline,Democrat
242,OH-1,69885,G. Landsman,Democrat
243,MN-1,69959,B. Finstad,Republican
244,MI-7,70080,E. Slotkin,Democrat
245,FL-23,70142,J. Moskowitz,Democrat
246,NY-6,70187,G. Meng,Democrat
247,AZ-4,70204,G. Stanton,Democrat
248,IL-7,70210,D. Davis,Democrat
249,IN-5,70367,V. Spartz,Republican
250,OH-8,70382,W. Davidson,Republican
251,KY-4,70561,T. Massie,Republican
252,FL-19,70698,B. Donalds,Republican
253,FL-21,70739,B. Mast,Republican
254,IA-3,70794,Z. Nunn,Republican
255,DE-At Large,71091,L. Blunt Rocheste,Democrat
256,MO-3,71309,B. Luetkemeyer,Republican
257,TX-14,71372,R. Weber,Republican
258,PA-7,71407,S. Wild,Democrat
259,NC-13,71598,W. Nickel,Democrat
260,MN-5,71636,I. Omar,Democrat
261,NJ-8,71688,R. Menendez Jr.,Democrat
262,GA-5,71695,N. Williams,Democrat
263,PA-10,72359,S. Perry,Republican
264,VT-At Large,72431,B. Balint,Democrat
265,NE-2,72455,D. Bacon,Republican
266,FL-11,72624,D. Webster,Republican
267,IL-16,72666,D. LaHood,Republican
268,UT-2,72791,C. Stewart,Republican
269,GA-7,72792,L. McBath,Democrat
270,CA-6,72860,A. Bera,Democrat
271,FL-16,72884,V. Buchanan,Republican
272,AZ-8,73095,D. Lesko,Republican
273,CA-44,73188,N. Barragán,Democrat
274,CA-52,73215,J. Vargas,Democrat
275,MI-9,73460,L. McClain,Republican
276,NY-5,73628,G. Meeks,Democrat
277,TX-10,73784,M. McCaul,Republican
278,NJ-2,73928,J. Van Drew,Republican
279,TX-12,74002,K. Granger,Republican
280,NV-2,74058,M. Amodei,Republican
281,OR-6,74711,A. Salinas,Democrat
282,PA-5,75243,M. Scanlon,Democrat
283,FL-25,75269,D. Wasserman Schultz,Democrat
284,OH-7,75339,M. Miller,Republican
285,CA-33,75770,P. Aguilar,Democrat
286,MA-7,75812,A. Pressley,Democrat
287,PA-11,75875,L. Smucker,Republican
288,WI-2,75880,M. Pocan,Democrat
